,Job Title,Company Name,Job Location,Job Posted,Jop Type,Job Skill,Time,Month Or Hours
12,Account Executive - Turkish Speaker,Lansheng Paper Company,"Nasr City, Cairo, Egypt",2 hours ago,Full,Entry Level · 2 - 4 Yrs of Exp · females_only · Sales/Retail· Sales· Sales Skills· Sales Target· Retail· Business Development· Customer Service· Account Executive,2,hours
13,Guest Relations Manager,Blue Nile,"Zamalek, Cairo, Egypt",2 hours ago,Full,Manager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Marketing/PR/Advertising· Guest Relations· Hospitality· Public Relations (PR),2,hours
14,Technical Specialists Teachers ( Architectural Finishes),NASS Academy,"Cairo, Egypt",2 hours ago,Full,Entry Level · 0 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Education/Teaching· Mechanical Engineering· Teaching· Educational· Education· Instructing· Architectural Engineering· Architecture Design,2,hours
15,Software Testing Architect,Elibre DMCC Egypt,"Maadi, Cairo, Egypt",2 hours ago,Full,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development· AutoCAD· architectural· Revit· JIRA· Software Testing,2,hours
16,Talent Management Manager (Large Fin-Tech Company),Pillars,"Cairo, Egypt",2 hours ago,Full,Manager · 7 - 15 Yrs of Exp · Human Resources· Talent management· Training· L&D· Learning & Development,2,hours
17,Electrical Engineering Teacher,NASS Academy,"Cairo, Egypt",2 hours ago,Full,Experienced · 1 - 5 Yrs of Exp · Engineering - Mechanical/Electrical · Education/Teaching· Education· Teaching· School· Electrical Engineering· Electrical· English,2,hours
18,General C++ Qt Application Developer,Atomica,"Cairo, Egypt",2 hours ago,Full,Experienced · 1+ Yrs of Exp · IT/Software Development· Computer Science· Information Technology (IT)· developer· C++· C· Qt· application Developer· Software Development,2,hours
19,High School English Teacher,NASS Academy,"Cairo, Egypt",2 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · Education/Teaching· Education· English· School· Teaching· Communication· English Teaching,2,hours
20,Real Estate Property Consultant - New Cairo,Confidential,"New Cairo, Cairo, Egypt",2 hours ago,Full,Experienced · 2 - 3 Yrs of Exp · Sales/Retail· Real Estate· Sales Target· Communication· New Cairo· Presentation· Property Consultant· Sales Skills· Sales· Property,2,hours
21,Merchandizing Supervisor,SAVOLA,"Cairo, Egypt",2 hours ago,Full,"Experienced · 3 - 5 Yrs of Exp · males_only · Sales/Retail· Sales, Trade Marketing· Retail Sales",2,hours
22,Sales Representative - Ceramic \ Sanitary,Confidential,"Jeddah, Saudi Arabia",2 hours ago,Full,Experienced · 3 - 10 Yrs of Exp · males_only · Customer Service/Support · Installation/Maintenance/Repair · Sales/Retail· Sales· Customer Service· Customer Care· Customer Support· Telesales· Sanitary· Ceramic,2,hours
23,Administrative Assistant,Fawry Banking & Payment Technology Services,"Smart Village, Giza, Egypt",2 hours ago,Full,Experienced · 4 - 6 Yrs of Exp · Administration · Customer Service/Support · Operations/Management· Administration· Communication· Management· Office management· Organizational skills,2,hours
24,Refrigeration & Air Conditioning Teacher / مدرس تبريد و تكيف,NASS Academy,"New Cairo, Cairo, Egypt",2 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Education/Teaching· Teaching· Education· Refrigeration· Air Conditioning· Engineering· Mechanical,2,hours
25,Physics/Chemistry Teacher,NASS Academy,"Cairo, Egypt",2 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · Engineering - Other · Education/Teaching· Chemistry· Physics· Teaching· Education· English· Engineering,2,hours
26,Plumbing Technical Trainer - مدرب سباكة وشبكات متخصصة,NASS Academy,"Cairo, Egypt",2 hours ago,Full,Experienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Training/Instructor· Mechanical Engineering· Electrical Engineering· Plumbing· Training· Teaching· Maintenance· Installation,2,hours
27,Technical Support Engineer (Outsourcing),Interact Technology Solutions,"Maadi, Cairo, Egypt",2 hours ago,Full,Experienced · 2+ Yrs of Exp · Customer Service/Support · Installation/Maintenance/Repair · IT/Software Development· IT· Engineering· Technical Support· Software· Computer Science· Information Technology (IT)· Electrical,2,hours
28,Java Developer,ARPUPLUS,"Agouza, Giza, Egypt",2 hours ago,Full,Experienced · 1 - 5 Yrs of Exp · IT/Software Development· Computer Science· Java· Spring· HTML5· jQuery· Linux,2,hours
29,Junior Dot Net Developer,ARPUPLUS,"Agouza, Giza, Egypt",2 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · IT/Software Development· .Net· JavaScript· Computer Science· HTML,2,hours
30,Detailing Sales Representative,MAG Pharma,"Cairo, Egypt",2 hours ago,Full,Experienced · 1 - 3 Yrs of Exp · Medical/Healthcare · Sales/Retail· Sales Rep· Outdoor Sales· Healthcare Sales· Medical Sales,2,hours
31,Scrap Sales Officer,Fine Hygienic Holding,"6th of October, Giza, Egypt",2 hours ago,Full,Experienced · 1 - 4 Yrs of Exp · Sales/Retail· Sales· sales skills· Sales Target· Selling· scrap· Materials Control· Material Eequirements Planning,2,hours
32,Mechatronics Trainer - GB Foundation,Ghabbour Auto,"6th of October, Giza, Egypt",2 hours ago,Full,Experienced · 2+ Yrs of Exp · Engineering - Mechanical/Electrical · Training/Instructor· Engineering· Training· Automotive· PVTD· Mechatronics· Office,2,hours
33,Electricity Trainer - GB Foundation,Ghabbour Auto,"6th of October, Giza, Egypt",2 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Training/Instructor· Training· PVTD· Electrical Engineering· Office· MS Office· Engineering,2,hours
34,Product Manager,Confidential,"Giza, Egypt",2 hours ago,Full,Manager · 7 - 10 Yrs of Exp · Marketing/PR/Advertising· Sales· Sales Manager· Sales Target· Sales Skills· Sales Management· Sales Field· Sales Planning· CRM· Promotion,2,hours
35,Sales Engineer,AL MOTAHEDA,"New Cairo, Cairo, Egypt",2 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical· Sales· Sales Skills· Engineering· Sales Target· Communication Skills· Communication· Low Voltage· Electrical,2,hours
36,Software Product Manager,Confidential,"Maadi, Cairo, Egypt",2 hours ago,Full,Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Business Development · IT/Software Development· Analytical Skills· Leadership Management· Product Management· Business Analysis· Agile· Analysis· Computer Science,2,hours
37,Customer Service Representative,ECRAL,"Cairo, Egypt",2 hours ago,Full,Experienced · 2 - 4 Yrs of Exp · females_only · Customer Service/Support · Sales/Retail· Customer Service· Sales· sales skills· Sales Target· Customer Support· Customer Care· Rental· English,2,hours
38,Senior Software Tester,Confidential,"Maadi, Cairo, Egypt",3 hours ago,Full,Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Certified Software Tester· Test Design· SQL· Reporting· Software· Testing,3,hours
39,Senior QC Software Engineer,Chefaa IT,"Maadi, Cairo, Egypt",3 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Automation Testing· Agile· Quality Control· Testing· quality· Communication skills· Software Testing,3,hours
40,Electrical technical office manager,Amer vision,"Sheraton, Cairo, Egypt",3 hours ago,Full,Manager · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical· AutoCAD· Electrical· Electrical Engineering· Microsoft Office· Power· Revit· Technical Office· technical,3,hours
41,Senior System Analyst,Confidential,"Maadi, Cairo, Egypt",3 hours ago,Full,Experienced · 5 - 10 Yrs of Exp · IT/Software Development· Analysis· Computer Science· Engineering· Information Systems· Design· System Analysis· Technical Writing· Documentation· Problem Solving,3,hours
42,Senior Motion Graphics Designer,United Media Services,"Heliopolis, Cairo, Egypt",3 hours ago,Full,Experienced · 5+ Yrs of Exp · Creative/Design/Art· Adobe illustrator· Adobe Photoshop· Graphic Design· Motion· Motion Graphics· graphics,3,hours
43,Senior Bank Accountant,Multi M Group,"khanka, Qalubia, Egypt",3 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance· Accounting· Bank· Bank Accounting· Banking· Finance,3,hours
44,Application Support Engineer,Caelum Egypt,"Dokki, Giza, Egypt",3 hours ago,Full,Entry Level · 2+ Yrs of Exp · IT/Software Development· computer· Computer Engineering· Computer Science· Information Technology (IT)· Customer Support· CRM· Software· .Net· Software Development,3,hours
45,Senior Software Developer,TAQA Arabia,"Maadi, Cairo, Egypt",3 hours ago,Full,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology· Computer Science· Information Technology (IT)· Software Development· jQuery· JavaScript· Software· Software Engineering,3,hours
46,Inventory / Warehouse Superintendent,Sukari Gold Mines,"Qusayr, Red Sea, Egypt",3 hours ago,Full,Senior Management · 12 - 16 Yrs of Exp · Logistics/Supply Chain· Warehousing Management· Inventory Control· Materials Control· Supply Chain· Logistics Management· Supply· Planning,3,hours
47,Customer Service Coordinator - Cairo,Misr Elkheir Foundation,"Mokattam, Cairo, Egypt",3 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · Administration · Customer Service/Support· Customer Service· Customer Care· Customer Support· Communication skills· Communication· Administration,3,hours
48,Project Associate - Bakeries & Speciality,InstaShop,"Giza, Egypt",3 hours ago,Full,Experienced · 0 - 2 Yrs of Exp · Business Development · Marketing/PR/Advertising · Project/Program Management· Project Management· Communication skills· Communication· Commercial· Marketing· Ecommerce· Marketing Research,3,hours
49,Life Cycle Assessment Expert (LCA EXPERT),Collars HR,"New Cairo, Cairo, Egypt",3 hours ago,Full,Manager · 4 - 6 Yrs of Exp · Engineering - Oil & Gas/Energy· Mining Engineering· Environmental Engineering· Environmental Science,3,hours
50,Information Security Analyst,Confidential,"Maadi, Cairo, Egypt",3 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research· Information Security· IT· Computer Science· Information Systems· CEH· Security Systems· CISM,3,hours
51,Training Supervisior,Etisalat Egypt,"Maadi, Cairo, Egypt",3 hours ago,Full,Manager · 3 - 5 Yrs of Exp · Training/Instructor· Training· Training of Trainers,3,hours
52,Senior E Commerce Specialist,Confidential,"Sheraton, Cairo, Egypt",3 hours ago,Full,Experienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising· E-Marketing· Marketing· Shopify· Social Media· Design· Web Design· Digital Marketing,3,hours
53,cost controller accountant,Confidential,"Heliopolis, Cairo, Egypt",3 hours ago,Full,Experienced · 5 - 6 Yrs of Exp · Accounting/Finance · Engineering - Construction/Civil/Architecture · Project/Program Management· Accounting· Cost· Cost Accounting· Finance· Financial Analysis· Financial Reporting,3,hours
54,Store Keeper,Sinomacdi,"Biyala, Kafr Alsheikh, Egypt",3 hours ago,Full,Experienced · 2 - 4 Yrs of Exp · Administration · Logistics/Supply Chain· Materials Selection· Construction· QA· Quality Assurance· Quality Control,3,hours
55,Warehouse Manager,IMUT International Marathon United Technology,"Obour City, Cairo, Egypt",3 hours ago,Full,Manager · 5 - 7 Yrs of Exp · Logistics/Supply Chain· Warehouse· Supply Chain· Warehouse Management· Warehousing· Logistics,3,hours
56,Senior Android Developer,Centro CDX,"Maadi, Cairo, Egypt",3 hours ago,Part,Experienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology· Mobile Development· Swift· Android SDK· Software Development· Computer Science· Information Technology (IT)· Android,3,hours
57,مسئول مشتريات محليه,Nile Supply,"Mohandessin, Giza, Egypt",3 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · Purchasing/Procurement· Purchasing· Procurement,3,hours
58,Senior Accountant,HITS Technologies,"Nasr City, Cairo, Egypt",3 hours ago,Full,Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Banking · IT/Software Development· Finance· Accounting· Commerce· Transactions· Financial Management· Financial Analysis· Accounts Payable,3,hours
59,Secretary,Amer vision,"Sheraton, Cairo, Egypt",3 hours ago,Full,Experienced · 1 - 3 Yrs of Exp · Administration · Operations/Management· Administration· Office management· Communication skills· English· Microsoft Office· Secretary,3,hours
60,HR Specialist (Chinese Speaker),Confidential,"Cairo, Egypt",4 hours ago,Full,Experienced · 2 - 5 Yrs of Exp · Human Resources· English· excel· Governmental· HR· Human Resources (HR)· Payroll· Recruitment· Personnel· Chinese Translation,4,hours
61,HR Business Partner,Confidential,"Nasr City, Cairo, Egypt",4 hours ago,Full,Manager · 15 - 20 Yrs of Exp · Human Resources· Human Resources· HR Systems· Human Resources (HR)· HR· Recruitment· Construction· Performance Management· Compensation· Labour Law,4,hours
62,مهندس كهرباء,Confidential,"Qalubia, Egypt",4 hours ago,Full,Experienced · 4 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical· Electrical Engineering· Electromechanical Engineering· مهندس,4,hours
63,Administrative Specialist - Third-party,Amreyah Cement  InterCement,"Bourj Alarab, Alexandria, Egypt",4 hours ago,Full,Entry Level · 1 - 5 Yrs of Exp · Administration· Administration· Business Administration· Reporting· office· Communication skills· Management· Microsoft Office· MS Office,4,hours
64,Food And Beverage Manager - Assuit Club,Wadi Degla Group,"New Assuit, Assiut, Egypt",4 hours ago,Full,Manager · 5 - 7 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management· Food· Beverage· Management· Hotels· Tourism· MSO· HYgiene· FMCG,4,hours
65,Property Advisor,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo, Egypt",4 hours ago,Full,Entry Level · 1 - 1 Yrs of Exp · Sales/Retail· Real Estate· Communication· Sales· sales skills· Sales Target· Skills· English· Communication skills,4,hours
66,Technology Administrator,Cultiv,"Heliopolis, Cairo, Egypt",4 hours ago,Full,Entry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology· Information Technology (IT)· Linux· Operating Systems· TCP· IP· RouterOS· Cisco,4,hours
67,Store Manager - Giza District,Defacto,"Giza, Egypt",4 hours ago,Full,Manager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Retail· Sales Target· Sales Skills· Administration· Operations· Management· English,4,hours
68,مهندس ميكانيكا,Confidential,"Qalubia, Egypt",4 hours ago,Full,Experienced · 4 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Engineering - Other· Mechanical Engineering· Mechanical· Mechanical Maintenance,4,hours
69,Business Writer,Cultiv,"Heliopolis, Cairo, Egypt",4 hours ago,Full,Experienced · 2 - 5 Yrs of Exp · Writing/Editorial · Media/Journalism/Publishing· Writing· Business Development· Microsoft Office· Journalism· Editorial· Business Writing· Business Administration· Computer Skills,4,hours
70,Technical Sales Engineer,Unitech,"6th of October, Giza, Egypt",4 hours ago,Full,Entry Level · 1+ Yrs of Exp · males_only · Sales/Retail· Engineering· English· Sales· Sales Target· sales skills,4,hours
71,Store Manager - Cairo District,Defacto,"Giza, Egypt",4 hours ago,Full,Manager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Retail· Sales Target· Sales Skills· Administration· Operations· Management· English,4,hours
72,Telesales Agent - English Account ((( Fixed Morning Shifts ))),Etisalat Egypt,"Cairo, Egypt",4 hours ago,Full,Entry Level · 0 - 10 Yrs of Exp · Customer Service/Support · Sales/Retail· Customer Service· sales skills· Sales· Telesales,4,hours
73,Social Media Community Manager,Confidential,"Cairo, Egypt",4 hours ago,Full,Experienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising· Online Marketing· E-Marketing· social media management· Marketing· Social Media,4,hours
74,Inland Specialist,Transmar International,"New Cairo, Cairo, Egypt",4 hours ago,Full,Experienced · 1 - 2 Yrs of Exp · Logistics/Supply Chain· Trucking· Logistics,4,hours
75,Store Manager - Hurghada,Defacto,"Hurghada, Red Sea, Egypt",4 hours ago,Full,Manager · 4 - 5 Yrs of Exp · Operations/Management · Sales/Retail· Sales· Retail· Sales Target· Sales Skills· Administration· Operations· Management· English,4,hours
76,Business Development Officer,Cultiv,"Heliopolis, Cairo, Egypt",4 hours ago,Full,Experienced · 2 - 5 Yrs of Exp · Business Development · Sales/Retail· Business Development· Communication skills· sales skills· Sales Target· Sales· Communication· Development· Microsoft Office,4,hours
77,Technical Sales Engineer (Civil /Mechanical / Production),caliteck,"Nasr City, Cairo, Egypt",4 hours ago,Full,Entry Level · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Sales/Retail · Engineering - Mechanical/Electrical· Production· Engineering· Mechanical· Sales· English· Sales Target· Customer Service,4,hours
78,Software Tester - Quality Assurance 05003,Confidential,"Cairo, Egypt",4 hours ago,Full,Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology· Information Technology (IT)· QA· Software Testing· Agile· Software· Software Development· Performance,4,hours
79,Real Estate Sales / Property Consultant (Brokerage ),IMIC for Real estate,"New Cairo, Cairo, Egypt",4 hours ago,Full,Experienced · 1 - 4 Yrs of Exp · Sales/Retail· Real Estate· Sales· Target· Communication skills· Real Estate Sales· Sales Target· Property Sales,4,hours
80,Marketing Manager,EYB  Engine Your Business,"New Capital, Cairo, Egypt",4 hours ago,Full,Manager · 1 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing· Communication skills· Communication· Skills· Sales· Market Research· Marketing· Social Media,4,hours
81,HR Manager,JK SteelWheels,"San Stefano, Alexandria, Egypt",4 hours ago,Full,Manager · 4 - 6 Yrs of Exp · Administration · Human Resources · Operations/Management· Human Resources (HR)· Recruitment· Personnel· HR· HR Systems· Human Resources,4,hours
82,Ward Manager - Doctor,Saudi German Hospital,"New Nozha, Cairo, Egypt",4 hours ago,Full,Manager · 2 - 4 Yrs of Exp · Medical/Healthcare· Medicine· Medical· Doctor· Surgery· Administration,4,hours
83,Direct Sales Agent-10th of Ramadan City,beIN Media Group,"10th of Ramadan City, Sharqia, Egypt",5 hours ago,Full,Entry Level · 1 - 2 Yrs of Exp · Sales/Retail· Sales· Retail· Sales Target· Sales Field· Sales Skills· English,5,hours
84,Accountant,Click ITS,"Smouha, Alexandria, Egypt",5 hours ago,Full,Experienced · 1 - 4 Yrs of Exp · Accounting/Finance· Accounting· Financial· Reporting,5,hours
85,Quran Teacher at Agyad,Manhattan Schools,"Maadi, Cairo, Egypt",5 hours ago,Full,Experienced · 2 - 4 Yrs of Exp · Education/Teaching· Quran· Teaching,5,hours
86,Customer Support Representative Non Voice (((Mail & Chat English Account))),Etisalat Egypt,"Maadi, Cairo, Egypt",5 hours ago,Full,Entry Level · 0 - 13 Yrs of Exp · Customer Service/Support· B2· Customer Care· Customer Service· Customer Support· English· Sales· Service,5,hours
87,Sales Executive (Banking Sector or insurance),Confidential,"Sheikh Zayed, Giza, Egypt",5 hours ago,Full,Experienced · 2 - 6 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail· Sales Skills· Sales· Sales Target· Communication· Insurance· Office· Marketing,5,hours
88,Assistant Manager,EYB  Engine Your Business,"Moscow, Russia",5 hours ago,Full,Entry Level · 1 - 2 Yrs of Exp · females_only · Project/Program Management· Assistant· Administration· assistant manager· Manager· Secretary· Office management,5,hours
89,Junior Presales Engineer,Target Integrated Systems,"Maadi, Cairo, Egypt",5 hours ago,Full,Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology· Communication· Communication skills· Computer Science· Engineering· Information Technology (IT)· English· network,5,hours
90,Commercial Director ( Construction),HCCD Construction,"Cairo, Egypt",5 hours ago,Full,Senior Management · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Business Development · Sales/Retail· Commercial· Leadership· MBA· Marketing· Market Research· Business Administration· Finance,5,hours
91,Graphic Designer,Confidential,"Alexandria, Egypt",5 hours ago,Full,Experienced · 2 - 4 Yrs of Exp · females_only · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing· Adobe illustrator· Adobe Photoshop· Designer· Graphic· graphic designer· Design,5,hours
92,UI UX Developer,SATA Group,"Nasr City, Cairo, Egypt",5 hours ago,Full,Experienced · 2 - 4 Yrs of Exp · IT/Software Development· UI/UX· Computer Science· Information Technology (IT),5,hours
93,Sr. Sales & Market Development (Corporate ),Menaitech,"Cairo, Egypt",5 hours ago,Full,Experienced · 5 - 10 Yrs of Exp · IT/Software Development· Business Development· Sales· Software· sales skills· English,5,hours
94,Quran Supervisor at Agyad,Manhattan Schools,"Maadi, Cairo, Egypt",5 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · Education/Teaching· Quran· Teaching,5,hours
95,French Supervisor at Agyad,Manhattan Schools,"Maadi, Cairo, Egypt",5 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · Education/Teaching· french· Teaching,5,hours
96,Admin Assistant,Bedaya Packing,"Nasr City, Cairo, Egypt",5 hours ago,Full,Experienced · 7 - 10 Yrs of Exp · Administration · Human Resources· Administration· Secretary· Office Management· Administrative· English· Admin· Human Resources,5,hours
97,Cashier,Ghandour,"New Cairo, Cairo, Egypt",5 hours ago,Full,Entry Level · 1+ Yrs of Exp · Hospitality/Hotels/Food Services · Sales/Retail· fruits· vegetables· cashier,5,hours
98,KG English Teacher,Bloom Language School,"Haram, Giza, Egypt",5 hours ago,Full,Experienced · 0 - 2 Yrs of Exp · Education/Teaching· english language· English Teaching· Teaching· Language School· Creative,5,hours
99,Senior Marketing Communications Executive,Premier Services and Recruitment Overseas,"Sheraton, Cairo, Egypt",5 hours ago,Full,Experienced · 4 - 7 Yrs of Exp · Marketing/PR/Advertising· Advertising· AUC· GUC· BUE· MSA· Marketing,5,hours
100,Senior Payroll & Personnel Officer,Bingo Global,"New Nozha, Cairo, Egypt",5 hours ago,Full,Experienced · 4 - 6 Yrs of Exp · Human Resources· Human Resources (HR)· Microsoft Excel· Communication skills· Personnel· Payroll· Labor Law,5,hours
101,Recruitment Supervisor,Nasps,"Katameya, Cairo, Egypt",5 hours ago,Full,Experienced · 5 - 7 Yrs of Exp · Human Resources· Human Resources (HR)· Recruitment· Selection· Talent acquisition· employment,5,hours
102,Corporate Content Creator,Premier Services and Recruitment Overseas,"Sheraton, Cairo, Egypt",5 hours ago,Full,Experienced · 5+ Yrs of Exp · Marketing/PR/Advertising· Content· Marketing· media· Social Media,5,hours
103,IT Infrastructure Consultant,Ritsol Allied,"Mohandessin, Giza, Egypt",5 hours ago,Full,Manager · 5 - 7 Yrs of Exp · IT/Software Development· Information Technology (IT)· firewalls· Network· Security,5,hours
104,Call Center Agent,Wham Clinics,"Sidi Bishr, Alexandria, Egypt",5 hours ago,Full,Entry Level · 1+ Yrs of Exp · females_only · Customer Service/Support· Customer Service· Customer Care· Call Center· Customer Support· Communication Skills· CRM· CRM Systems,5,hours
105,Accountant,Bedaya Packing,"Nasr City, Cairo, Egypt",5 hours ago,Full,Experienced · 5 - 10 Yrs of Exp · Accounting/Finance· Accounting· Corporate Finance· Finance· Quick books· Financial Management,5,hours
106,Student Welfare Counsellor,Malvern College Egypt,"Katameya, Cairo, Egypt",5 hours ago,Full,Experienced · 4 - 8 Yrs of Exp · Education/Teaching· English· Administration· Admin,5,hours
107,Business Development Specialist,Ritsol Allied,"Mohandessin, Giza, Egypt",5 hours ago,Full,Experienced · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Sales/Retail· CRM· sales skills· Business Development,5,hours
108,Customer Service Coordinator,SSC Egypt,"Maadi, Cairo, Egypt",5 hours ago,Full,Entry Level · 0 - 3 Yrs of Exp · Administration · Customer Service/Support · Sales/Retail· analytical· Communication· Communication skills· Customer· Customer Care· Customer Support· Customer Service,5,hours
109,Sales Account Manager,Ritsol Allied,"Mohandessin, Giza, Egypt",5 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Sales/Retail· Sales Target· IT· sales skills,5,hours
110,Production Engineer- Electrical Panel Manufacturer,Chint Egemac,"6th of October, Giza, Egypt",6 hours ago,Full,Experienced · 3 - 5 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical· SAP· AutoCAD· Electrical Engineering· HSE· Production· Low Voltage Switch Gears· Low Voltage Panel Production· Classic Control,6,hours
111,Translator / Admission Officer,TOP EDUCATION ACADEMY,"Agouza, Giza, Egypt",6 hours ago,Full,Entry Level · 2 - 5 Yrs of Exp · males_preferred · Administration · Analyst/Research · Education/Teaching· English· english language· language· Microsoft Office· Research· Translation· translator,6,hours
112,Technical Sales Engineer,GlassRock Insulation Co.,"Maadi, Cairo, Egypt",6 hours ago,Full,Experienced · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical· Civil· engineer· architectural· Engineering· HVAC· Information Technology (IT)· Market Analysis· Mechanical,6,hours
